"Subject_ID" "Activity_Type" "Measurements_Means"
1 "Walking" -0.154704224846979
1 "Walking_Upstairs" -0.231999684363501
1 "Walking_Downstairs" -0.122097420273261
1 "Sitting" -0.50082418584196
1 "Standing" -0.520382019147847
1 "Laying" -0.464688330197434
2 "Walking" -0.244120828323534
2 "Walking_Upstairs" -0.200691412700488
2 "Walking_Downstairs" -0.0944623504455229
2 "Sitting" -0.511817785099978
2 "Standing" -0.507043661880366
2 "Laying" -0.508434511280749
3 "Walking" -0.238713185929523
3 "Walking_Upstairs" -0.259580614670653
3 "Walking_Downstairs" -0.175697244145788
3 "Sitting" -0.489063258565254
3 "Standing" -0.492272521692132
3 "Laying" -0.502500044443845
4 "Walking" -0.289530609320716
4 "Walking_Upstairs" -0.252364717988312
4 "Walking_Downstairs" -0.207851820442123
4 "Sitting" -0.501293781455887
4 "Standing" -0.487002552946236
4 "Laying" -0.500153679244108
5 "Walking" -0.219862750882794
5 "Walking_Upstairs" -0.188053006486523
5 "Walking_Downstairs" -0.122195171019069
5 "Sitting" -0.501246990609321
5 "Standing" -0.486514195897983
5 "Laying" -0.507260664824493
6 "Walking" -0.183320523629512
6 "Walking_Upstairs" -0.14516366510773
6 "Walking_Downstairs" -0.0206522375348759
6 "Sitting" -0.498925677384836
6 "Standing" -0.498200481339063
6 "Laying" -0.489202120983382
7 "Walking" -0.153635870477893
7 "Walking_Upstairs" -0.258189933164176
7 "Walking_Downstairs" -0.136413818282743
7 "Sitting" -0.49785245034359
7 "Standing" -0.50581402993104
7 "Laying" -0.493338720624941
8 "Walking" -0.133837464336683
8 "Walking_Upstairs" -0.131284815979933
8 "Walking_Downstairs" -0.0346486646563102
8 "Sitting" -0.50469133427993
8 "Standing" -0.509185233621517
8 "Laying" -0.495863011753972
9 "Walking" -0.21443284868027
9 "Walking_Upstairs" -0.251669464216492
9 "Walking_Downstairs" -0.136977035580703
9 "Sitting" -0.490647164450553
9 "Standing" -0.498445544648232
9 "Laying" -0.497022932999838
10 "Walking" -0.172878897321578
10 "Walking_Upstairs" -0.170556775015951
10 "Walking_Downstairs" -0.0984246066915269
10 "Sitting" -0.508031197591772
10 "Standing" -0.498667542618158
10 "Laying" -0.503318316864215
11 "Walking" -0.275705678927366
11 "Walking_Upstairs" -0.269986795723495
11 "Walking_Downstairs" -0.170957425487331
11 "Sitting" -0.50772604718621
11 "Standing" -0.518521669950235
11 "Laying" -0.508486234139201
12 "Walking" -0.198425762755689
12 "Walking_Upstairs" -0.256980864439063
12 "Walking_Downstairs" -0.144788672012843
12 "Sitting" -0.50617365957892
12 "Standing" -0.498075787967098
12 "Laying" -0.498047364850823
13 "Walking" -0.163609952044498
13 "Walking_Upstairs" -0.235083271212367
13 "Walking_Downstairs" -0.137877310857159
13 "Sitting" -0.510229227690033
13 "Standing" -0.513345241543561
13 "Laying" -0.501409758325463
14 "Walking" -0.210461172650738
14 "Walking_Upstairs" -0.0939771486801537
14 "Walking_Downstairs" -0.0242376665436548
14 "Sitting" -0.506524583527612
14 "Standing" -0.505223038724546
14 "Laying" -0.482588000869862
15 "Walking" -0.232331890996978
15 "Walking_Upstairs" -0.221278115367451
15 "Walking_Downstairs" -0.100171604610588
15 "Sitting" -0.508428423695214
15 "Standing" -0.505376021882037
15 "Laying" -0.503440857004261
16 "Walking" -0.280487905544034
16 "Walking_Upstairs" -0.27300242763572
16 "Walking_Downstairs" -0.172146865665976
16 "Sitting" -0.509665977799645
16 "Standing" -0.513692015749005
16 "Laying" -0.506108145845667
17 "Walking" -0.227092698117014
17 "Walking_Upstairs" -0.214659970312433
17 "Walking_Downstairs" -0.180391783977863
17 "Sitting" -0.518438997002636
